Name,Pruned,RC,SMILES
25,original,reactant,O=C(C=C)NC1=C(C)C=CC=C1
25,original,intermediate,[H]c1c([H])c([H])c(C([H])([H])[H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
25,original,product,[H]c1c([H])c([H])c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
25,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[7H]
25,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([7H])c1[H]
25,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([7H])c1[H]
26,original,reactant,O=C(C=C)NC1=CC=C(OC)C=C1
26,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]
26,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]
26,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
26,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
26,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
27,original,reactant,O=C(C=C)NC1=C(C#N)C=CC=C1
27,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c(C#N)c1[H]
27,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c(C#N)c1[H]
27,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([H])c1[7H]
27,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([7H])c1[H]
27,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([7H])c1[H]
28,original,reactant,O=C(C=C)NC1=CC=CC(F)=C1
28,original,intermediate,[H]c1c([H])c(F)c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
28,original,product,[H]c1c([H])c(F)c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
28,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([10H])c1[H]
28,pruned,intermediate,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
28,pruned,product,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
29,original,reactant,O=C(C=C)NC1=CC=C(C)C=C1
29,original,intermediate,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H]
29,original,product,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H]
29,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
29,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
29,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
30,original,reactant,O=C(C=C)NC1=NC=CC=C1
30,original,intermediate,[H]c1nc(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[H]
30,original,product,[H]c1nc(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[H]
30,pruned,reactant,C=CC(=O)Nc1ccccn1
30,pruned,intermediate,[H]c1nc(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[H]
30,pruned,product,[H]c1nc(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[H]
31,original,reactant,O=C(C=C)NC1=CC=C(C#N)C=C1
31,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1C#N
31,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1C#N
31,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([9H])c([H])c1[H]
31,pruned,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
31,pruned,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c([H])c1[9H]
32,original,reactant,O=C(C(C)=C)NC(C)(C)C1=CC=CC=C1
32,original,intermediate,[H]c1c([H])c([H])c(C(N([H])C(=O)[C-](C([H])([H])[H])C([H])([H])SC([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
32,original,product,[H]c1c([H])c([H])c(C(N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])SC([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
32,pruned,reactant,C=C(C)C(=O)NC(C)(C)c1ccccc1
32,pruned,intermediate,[H]c1c([H])c([H])c(C(N([H])C(=O)[C-](C([H])([H])[H])C([H])([H])SC([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
32,pruned,product,[H]c1c([H])c([H])c(C(N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])SC([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
33,original,reactant,O=C(C(C)=C)NC1=CC=CC=C1
33,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-](C([H])([H])[H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
33,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
33,pruned,reactant,C=C(C)C(=O)Nc1ccccc1
33,pruned,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-](C([H])([H])[H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
33,pruned,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])SC([H])([H])[H])c([H])c1[H]
34,original,reactant,O=C(/C=C(C)/C)NC1=CC=CC=C1
34,original,intermediate,[H]c1c([H])c([H])c(N([H])C(=O)[C-]([H])C(SC([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
34,original,product,[H]c1c([H])c([H])c(N([H])C(=O)C([H])([H])C(SC([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
34,pruned,reactant,CC(C)=CC(=O)Nc1ccccc1
