Name,Pruned,RC,SMILES
5m,original,reactant,O=C(C=C)NC1=CC=CC(C(F)(F)F)=C1
5m,original,intermediate,[H]c1c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c([H])c(C(F)(F)F)c1[H]
5m,original,product,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c([H])c(C(F)(F)F)c1[H]
5m,pruned,reactant,[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c([H])c([10H])c1[H]
5m,pruned,intermediate,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
5m,pruned,product,[H]c1c([H])c([10H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c1[H]
6m,original,reactant,O=C(C=C)NC1=CC=CC(C2=CC=CC=C2)=C1
6m,original,intermediate,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c2[H])c([H])c1[H]
6m,original,product,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c2[H])c([H])c1[H]
6m,pruned,reactant,C=CC(=O)Nc1cccc(-c2ccccc2)c1
6m,pruned,intermediate,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c2[H])c([H])c1[H]
6m,pruned,product,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H])c2[H])c([H])c1[H]
7m,original,reactant,O=C(C=C)NC1=CC=CC(C(OC)=O)=C1
7m,original,intermediate,[H]c1c([H])c(C(=O)OC([H])([H])[H])c([H])c(N([H])C(=O)[C-]([H])C([H])([H])SC([H])([H])[H])c1[H]
