Name,Pruned,RC,SMILES
25,pruned,product,[H]N(C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
44,original,reactant,CNC(=O)C1=CCC1
44,original,intermediate,[H]N(C(=O)[C-]1C([H])([H])C([H])([H])C1([H])SC([H])([H])[H])C([H])([H])[H]
44,original,product,[H]N(C(=O)C1([H])C([H])([H])C([H])([H])C1([H])SC([H])([H])[H])C([H])([H])[H]
44,pruned,reactant,CNC(=O)C1=CCC1
44,pruned,intermediate,[H]N(C(=O)[C-]1C([H])([H])C([H])([H])C1([H])SC([H])([H])[H])C([H])([H])[H]
44,pruned,product,[H]N(C(=O)C1([H])C([H])([H])C([H])([H])C1([H])SC([H])([H])[H])C([H])([H])[H]
45,original,reactant,CNC(=O)C1=CCCC1
45,original,intermediate,[H]N(C(=O)[C-]1C([H])([H])C([H])([H])C([H])([H])C1([H])SC([H])([H])[H])C([H])([H])[H]
45,original,product,[H]N(C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])SC([H])([H])[H])C([H])([H])[H]
45,pruned,reactant,CNC(=O)C1=CCCC1
45,pruned,intermediate,[H]N(C(=O)[C-]1C([H])([H])C([H])([H])C([H])([H])C1([H])SC([H])([H])[H])C([H])([H])[H]
45,pruned,product,[H]N(C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])SC([H])([H])[H])C([H])([H])[H]
