Name,RC,SMILES,charge,"E(opt, kcal/mol)","time(opt, sec)","E(rattled, kcal/mol)","E(initial, kcal/mol)"
S2-45.16,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280270.2635525593,8.711873109452426,-1280249.4347389708,-1280255.867579253
S2-45.16,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555368.4211998947,2.7775785513222218,-1555357.2891869731,-1555363.3838497915
S2-45.16,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555629.697742689,4.016238331794739,-1555616.0661678917,-1555623.740494576
S2-45.17,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280265.1851843963,4.8549035945907235,-1280252.0766731391,-1280260.097929743
S2-45.17,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555365.4953313507,6.4761705389246345,-1555352.755290595,-1555358.6682449386
S2-45.17,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555638.4475469752,4.923257770948112,-1555623.9535503667,-1555629.7811297616
S2-45.18,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280265.115129735,2.004532224498689,-1280254.7550622332,-1280260.4325971415
S2-45.18,intermediate,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)[C-]([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,0,-1555369.937541041,5.098968176171184,-1555358.4199663615,-1555364.898256185
S2-45.18,product,[H]c1nc(N([H])c2c([H])c(N([H])C(=O)C([H])([H])C([H])(SC([H])([H])[H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])C([H])([H])[H])c1Cl,1,-1555637.7369360074,3.8159134900197387,-1555624.3244841306,-1555630.6098494178
S2-45.19,reactant,CNC(=O)c1ccccc1Nc1nc(Nc2cc(NC(=O)/C=C/C[NH+](C)C)ccc2OC)ncc1Cl,1,-1280258.3382974924,3.6895506251603365,-1280248.457787941,-1280252.3278616644
